Feature,Importance (%)
Age,17.657677559363307
FarePerPerson,15.852168543761138
Sex_male,15.425465121414122
Fare,15.311142940207889
Sex_Pclass_male_3,4.260818662214972
Pclass,4.09232696017691
Sex_Pclass_female_2,3.626112336122718
FamilySize,3.127181539536138
Sex_Pclass_female_3,2.3672657712500205
Embarked_S,2.359807875833309
Sex_Pclass_male_2,2.0979559072555234
Sex_Pclass_male_1,2.0942839841841545
SibSp,1.9516184372302525
Parch,1.8256411230265839
FamilyCategory_Small Family,1.7891170958654687
AgeGroup_Young Adult,1.490357551575223
AgeGroup_Adult,1.43116197247394
IsAlone,0.8908760823900318
Embarked_Q,0.7510713445923765
AgeGroup_Teenager,0.6852750973423954
FamilyCategory_Medium Family,0.4434901488249449
AgeGroup_Senior,0.3569575227548791
FamilyCategory_Large Family,0.11222642260370638
